"","item_id","Name","Score","Genders","english_name","Type","Episodes","Aired","Premiered","Producers","Licensors","Studios","Source","Duration","Duration_C","Rating","Ranked","Popularity","Members","Favorites","Watching","Completed","On-Hold","Dropped","Plan to Watch"
"1","ID1535","Death Note","8.63","Mystery, Police, Psychological, Supernatural, Thriller, Shounen","Death Note","TV","37","Oct 4, 2006 to Jun 27, 2007","Fall 2006","VAP, Konami, Ashi Production, Nippon Television Network, Shueisha","VIZ Media","Madhouse","Manga",23,"Less than 30min","R - 17+ (violence & profanity)","60.0",1,2589552,145201,122401,2146116,75054,80834,165147
"2","ID16498","Shingeki no Kyojin","8.48","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","Attack on Titan","TV","25","Apr 7, 2013 to Sep 29, 2013","Spring 2013","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise","Funimation","Wit Studio","Manga",24,"Less than 30min","R - 17+ (violence & profanity)","115.0",2,2531397,129844,140753,2182587,37345,44635,126077
"3","ID5114","Fullmetal Alchemist: Brotherhood","9.19","Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","Fullmetal Alchemist:Brotherhood","TV","64","Apr 5, 2009 to Jul 4, 2010","Spring 2009","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America","Bones","Manga",24,"Less than 30min","R - 17+ (violence & profanity)","1.0",3,2248456,183914,171871,1644938,75728,32456,323463
"4","ID11757","Sword Art Online","7.25","Action, Game, Adventure, Romance, Fantasy","Sword Art Online","TV","25","Jul 8, 2012 to Dec 23, 2012","Summer 2012","Aniplex, Genco, DAX Production, ASCII Media Works, Bandai Namco Games","Aniplex of America","A-1 Pictures","Light novel",23,"Less than 30min","PG-13 - Teens 13 or older","2584.0",4,2214395,66342,80304,1907261,25632,90661,110537
"5","ID30276","One Punch Man","8.57","Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural","One Punch Man","TV","12","Oct 5, 2015 to Dec 21, 2015","Fall 2015","TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications","VIZ Media","Madhouse","Web manga",24,"Less than 30min","R - 17+ (violence & profanity)","81.0",5,2123866,54435,96568,1841220,30271,26755,129052
"6","ID31964","Boku no Hero Academia","8.11","Action, Comedy, School, Shounen, Super Power","My Hero Academia","TV","13","Apr 3, 2016 to Jun 26, 2016","Spring 2016","Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha","Funimation","Bones","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","400.0",6,1909814,50005,90902,1655900,18092,19212,125708
"7","ID22319","Tokyo Ghoul","7.81","Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen","Tokyo Ghoul","TV","12","Jul 4, 2014 to Sep 19, 2014","Summer 2014","Marvelous AQL, TC Entertainment, Shueisha","Funimation","Studio Pierrot","Manga",24,"Less than 30min","R - 17+ (violence & profanity)","807.0",7,1895488,45519,74612,1594880,24334,38668,162994
"8","ID20","Naruto","7.91","Action, Adventure, Comedy, Super Power, Martial Arts, Shounen","Naruto","TV","220","Oct 3, 2002 to Feb 8, 2007","Fall 2002","TV Tokyo, Aniplex, Shueisha","VIZ Media","Studio Pierrot","Manga",23,"Less than 30min","PG-13 - Teens 13 or older","660.0",8,1830540,65586,137167,1462223,61734,99806,69610
"9","ID9253","Steins;Gate","9.11","Thriller, Sci-Fi","Steins;Gate","TV","24","Apr 6, 2011 to Sep 14, 2011","Spring 2011","Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus","Funimation","White Fox","Visual novel",24,"Less than 30min","PG-13 - Teens 13 or older","3.0",9,1771162,148452,114349,1134756,60926,35600,425531
"10","ID19815","No Game No Life","8.2","Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy","No Game, No Life","TV","12","Apr 9, 2014 to Jun 25, 2014","Spring 2014","Frontier Works, Media Factory, Movic, AT-X","Sentai Filmworks","Madhouse","Light novel",23,"Less than 30min","PG-13 - Teens 13 or older","304.0",10,1751054,45990,66938,1426896,27663,37820,191737
"11","ID11061","Hunter x Hunter (2011)","9.1","Action, Adventure, Fantasy, Shounen, Super Power","Hunter x Hunter","TV","148","Oct 2, 2011 to Sep 24, 2014","Fall 2011","VAP, Nippon Television Network, Shueisha","VIZ Media","Madhouse","Manga",23,"Less than 30min","PG-13 - Teens 13 or older","6.0",12,1673924,147274,227277,1094486,79587,31652,240922
"12","ID1575","Code Geass: Hangyaku no Lelouch","8.72","Action, Military, Sci-Fi, Super Power, Drama, Mecha, School","Code Geass:Lelouch of the Rebellion","TV","25","Oct 6, 2006 to Jul 29, 2007","Fall 2006","Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment","Sunrise","Original",24,"Less than 30min","R - 17+ (violence & profanity)","39.0",15,1583882,90487,69924,1209288,40874,30864,232932
"13","ID6547","Angel Beats!","8.15","Action, Comedy, Drama, School, Supernatural","Angel Beats!","TV","13","Apr 3, 2010 to Jun 26, 2010","Spring 2010","Aniplex, Dentsu, Mainichi Broadcasting System, CBC, Movic, Visual Art's, ASCII Media Works","Sentai Filmworks","P.A. Works","Original",24,"Less than 30min","PG-13 - Teens 13 or older","354.0",15,1591773,46425,55803,1229098,34233,38209,234430
"14","ID4224","Toradora!","8.24","Slice of Life, Comedy, Romance, School","Toradora!","TV","25","Oct 2, 2008 to Mar 26, 2009","Fall 2008","Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music","NIS America, Inc.","J.C.Staff","Light novel",24,"Less than 30min","PG-13 - Teens 13 or older","265.0",17,1567792,50708,72442,1191775,42141,41098,220336
